Map;WorldBank
Afghanistan;Afghanistan
Albania;Albania
Algeria;Algeria
American Samoa;American Samoa
Andorra;Andorra
Angola;Angola
Anguilla;
Antigua;Antigua and Barbuda
Antarctica;
;Arab World
Argentina;Argentina
Armenia;Armenia
Aruba;Aruba
Ascension Island;
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Azores;
Bahamas;Bahamas, The
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Barbuda;Antigua and Barbuda
Belarus;Belarus
Belgium;Belgium
Belize;Belize
Benin;Benin
Bermuda;Bermuda
Bhutan;Bhutan
Bolivia;Bolivia
Bonaire;
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana;Botswana
Brazil;Brazil
;British Virgin Islands
Brunei;Brunei Darussalam
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Cape Verde;Cabo Verde
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Canary Islands;Spain
;Caribbean small states
Cayman Islands;Cayman Islands
Central African Republic;Central African Republic
;Central Europe and the Baltics
Chad;Chad
Chagos Archipelago;
;Channel Islands
Chile;Chile
China;China
Christmas Island;
Cocos Islands;
Colombia;Colombia
Comoros;Comoros
Cook Islands;
Democratic Republic of the Congo;Congo, Dem Rep
Costa Rica;Costa Rica
Ivory Coast;Cote d'Ivoire
Croatia;Croatia
Cuba;Cuba
Curacao;Curacao
Cyprus;Cyprus
Czech Republic;Czech Republic
Denmark;Denmark
Djibouti;Djibouti
Dominica;Dominica
Dominican Republic;Dominican Republic
;Early-demographic dividend
;East Asia & Pacific
;East Asia & Pacific (excluding high income)
;East Asia & Pacific (IDA & IBRD countries)
Ecuador;Ecuador
Egypt;Egypt, Arab Rep
El Salvador;El Salvador
Equatorial Guinea;Equatorial Guinea
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Ethiopia
;Euro area
;Europe & Central Asia
;Europe & Central Asia (excluding high income)
;Europe & Central Asia (IDA & IBRD countries)
;European Union
Falkland Islands;
Faroe Islands;Faroe Islands
Fiji;Fiji
Finland;Finland
;Fragile and conflict affected situations
France;France
French Guiana;
French Polynesia;French Polynesia
French Southern and Antarctic Lands;
Gabon;Gabon
Gambia;Gambia, The
Georgia;Georgia
Germany;Germany
Ghana;Ghana
UK;Gibraltar
Greece;Greece
Greenland;Greenland
Grenada;Grenada
Grenadines;St Vincent and the Grenadines
Guadeloupe;
Guam;Guam
Guatemala;Guatemala
Guernsey;
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Heard Island;
;Heavily indebted poor countries (HIPC)
;High income
Honduras;Honduras
;Hong Kong SAR, China
Hungary;Hungary
;IBRD only
Iceland;Iceland
;IDA & IBRD total
;IDA blend
;IDA only
;IDA total
India;India
Indonesia;Indonesia
Iran;Iran, Islamic Rep
Iraq;Iraq
Ireland;Ireland
Isle of Man;Isle of Man
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jersey;United Kingdom
Jordan;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
South Korea;Korea, Rep
Kosovo;Kosovo
Kuwait;Kuwait
Kyrgyzstan;Kyrgyz Republic
Laos;Lao PDR
;Late-demographic dividend
;Latin America & Caribbean
;Latin America & Caribbean (excluding high income)
;Latin America & the Caribbean (IDA & IBRD countries)
